Batch Number,Frequent Itemset,Frequency
1,11521,-57589
1,11283,-57134
1,14550,-57004
1,2452,-56630
1,16377,-55806
1,14240,-55359
1,1905,-49517
1,3962,-47644
1,11521 2452,-46581
1,4306,-44880
1,16954,-44694
1,11521 14240,-44036
1,10042,-43080
1,14240 2452,-43049
1,2782,-42604
1,14691,-42253
1,11064,-42160
1,13728,-41415
1,12293,-41083
1,10947,-40478
1,14621,-40044
1,11521 14240 2452,-39461
1,17157,-39394
1,6287,-39108
1,3938,-39059
1,2862,-37569
1,11089,-37046
1,5582,-36909
1,14313,-36679
1,12870,-36079
1,6974,-35599
1,7057,-34653
1,14961,-34471
1,571,-34434
1,7230,-34351
1,14103,-33953
1,16265,-33192
1,15124,-32774
1,9628,-32544
1,5926,-30881
1,7057 7230,-30700
1,14240 7057,-30178
1,14240 14961,-29909
1,14240 7230,-29751
1,11521 7057,-29534
1,14961 7057,-29265
1,2452 7057,-29040
1,2452 7230,-28993
1,11521 7230,-28907
1,8904,-28899
1,14961 7230,-28836
1,11521 14961,-28651
1,14961 2452,-28400
1,10042 16954,-28128
1,6971,-28030
1,16265 5582,-27691
1,16384,-27579
1,11283 14550,-27556
1,14240 7057 7230,-27544
1,11521 14240 7057,-27529
1,886,-27484
1,7193,-27479
1,5582 9628,-27251
1,11607,-27234
1,11521 2452 7057,-27141
1,14961 7057 7230,-27041
1,11521 14240 7230,-27002
1,14240 2452 7057,-26992
1,1220,-26872
1,11521 7057 7230,-26862
1,11521 14240 14961,-26784
1,5732,-26768
1,14240 2452 7230,-26745
1,11521 2452 7230,-26702
1,14454,-26656
1,4640,-26626
1,11812,-26546
1,6037,-26538
1,2452 7057 7230,-26528
1,14240 14961 2452,-26438
1,14240 14961 7057,-26401
1,11521 14961 2452,-26228
1,3624,-26186
1,14240 14961 7230,-26009
1,11781,-25946
1,15107,-25892
1,11283 16377,-25848
1,11521 14240 2452 7057,-25758
1,17627,-25632
1,11521 14961 7057,-25548
1,7234,-25509
1,7624,-25454
1,11521 14240 7057 7230,-25396
1,11521 14240 2452 7230,-25354
1,5862,-25262
1,14961 2452 7057,-25189
1,11521 2452 7057 7230,-25029
1,11521 14961 7230,-25015
1,11521 14240 14961 2452,-25000
1,17169,-24996
1,12317,-24988
1,14240 2452 7057 7230,-24972
1,16879,-24901
1,14961 2452 7230,-24897
1,11443,-24869
1,16265 9628,-24767
1,7617,-24717
1,11521 1905,-24716
1,14240 14961 7057 7230,-24706
1,14691 2452,-24699
1,1905 2452,-24466
1,3290,-24460
1,12338,-24427
1,11521 14691,-24414
1,11089 3962,-24366
1,14550 2452,-24333
1,8327,-24331
1,11521 14240 14961 7057,-24315
1,12155,-24291
1,14550 16377,-24244
1,6972,-24205
1,11521 14550,-24093
1,14358,-23998
1,11521 14240 2452 7057 7230,-23940
1,11521 14961 7057 7230,-23925
1,10042 2452,-23878
1,14240 14961 2452 7057,-23865
1,10042 11521,-23819
1,11521 14240 14961 7230,-23812
1,11521 14961 2452 7057,-23746
1,8596,-23693
1,14240 14550,-23666
1,457,-23655
1,14961 2452 7057 7230,-23647
1,14240 14961 2452 7230,-23595
1,14240 1905,-23489
1,11521 5582,-23423
1,14240 5582,-23339
1,14621 3962,-23305
1,11521 14961 2452 7230,-23297
1,10042 14240,-23214
1,2452 5582,-23206
1,6029,-23135
1,14240 14691,-22999
1,13614,-22939
1,16265 5582 9628,-22915
1,11521 14240 14961 7057 7230,-22901
1,16668,-22870
1,11521 14240 14961 2452 7057,-22867
1,11521 3962,-22839
1,1110,-22767
1,11283 2782,-22701
1,14550 2782,-22684
1,14550 4306,-22678
1,2452 3962,-22646
1,5317,-22645
1,2913,-22630
1,14240 14961 2452 7057 7230,-22549
1,11521 14240 14961 2452 7230,-22459
1,11521 14961 2452 7057 7230,-22415
1,10042 14550,-22307
1,12582,-22126
1,14240 3962,-22102
1,2372,-22063
1,11283 4306,-22000
1,1962,-21953
1,15582,-21918
1,15844,-21862
1,10042 5582,-21853
1,13728 2782,-21843
1,15205,-21838
1,14621 3938,-21834
1,11283 2452,-21770
1,11283 11521,-21726
1,11521 16954,-21698
1,16377 4306,-21677
1,11521 14240 14961 2452 7057 7230,-21665
1,11521 14691 2452,-21596
1,12870 14550,-21563
1,13081,-21525
1,14550 2862,-21494
1,11521 1905 2452,-21452
1,16954 2452,-21413
1,4577,-21412
1,9340,-21338
1,10042 11521 2452,-21318
1,11283 17157,-21299
1,9960,-21252
1,11521 14550 2452,-21216
1,12232,-21157
1,2452 2782,-21119
1,11521 16265,-21092
1,12293 3290,-21089
1,5496,-21084
1,11521 2782,-21073
1,11521 2452 5582,-21069
1,1905 3962,-20994
1,14240 16265,-20987
1,6206,-20965
1,14240 16954,-20945
1,16265 2452,-20917
1,11283 14240,-20886
1,11040,-20877
1,14410,-20858
1,11521 9628,-20783
1,11521 14240 5582,-20745
1,14240 9628,-20728
1,1865,-20648
1,12293 14550,-20558
1,1798,-20550
1,14550 17157,-20495
1,5085,-20478
1,10042 11521 14240,-20464
1,2452 9628,-20440
1,6797,-20419
1,14240 2452 5582,-20414
1,14240 2782,-20411
1,175,-20405
1,11521 13728,-20401
1,10947 3962,-20382
1,11521 14240 14550,-20362
1,11521 14240 14691,-20357
1,11521 14240 1905,-20320
1,7745,-20291
1,11283 3962,-20272
1,14550 6974,-20259
1,10042 14240 2452,-20254
1,14240 14550 2452,-20236
1,13728 2452,-20230
1,11089 14621,-20215
1,14240 14691 2452,-20183
1,11283 13728,-20159
1,14550 3962,-20139
1,11521 2452 3962,-20095
1,10042 16265,-20094
1,4432,-20085
1,14240 1905 2452,-20062
1,3938 3962,-19895
1,14550 16954,-19885
1,17157 2782,-19861
1,14928,-19808
1,14550 14691,-19792
1,11781 16954,-19773
1,12918,-19733
1,14538,-19724
1,17088,-19670
1,12672,-19634
1,3605,-19628
1,2452 4306,-19601
1,10042 11283,-19548
1,13728 14240,-19526
1,16954 5582,-19489
1,15062,-19457
1,1180,-19450
1,10947 14240,-19393
1,13728 14550,-19342
1,11521 4306,-19331
1,11521 14240 2452 5582,-19319
1,11337,-19297
1,11283 14621,-19293
1,14621 2452,-19276
1,10947 2452,-19266
1,3106,-19263
1,10042 9628,-19201
1,10947 11521,-19200
1,11521 16954 2452,-19193
1,11521 14240 3962,-19174
1,5582 7057,-19150
1,11022,-19113
1,11064 14550,-19102
1,4656,-19075
1,11521 14621,-19050
1,10042 11521 14240 2452,-19039
1,11521 16265 2452,-19025
1,6428,-19005
1,12074,-19000
1,11521 14240 14691 2452,-18973
1,14240 2452 3962,-18966
1,5582 7230,-18936
1,10042 11781,-18907
1,11283 1905,-18907
1,14961 5582,-18892
1,11283 16954,-18887
1,11283 11521 2452,-18860
1,11521 14240 14550 2452,-18857
1,4266,-18825
1,11521 14240 1905 2452,-18816
1,14240 4306,-18773
1,8782,-18732
1,11521 14240 16265,-18708
1,11521 2452 9628,-18686
1,10042 14691,-18681
1,14240 14621,-18675
1,17324,-18603
1,11521 2452 2782,-18571
1,16377 2782,-18570
1,14550 1905,-18512
1,6099,-18508
1,11521 14240 9628,-18504
1,11521 16265 5582,-18482
1,11521 14240 16954,-18467
1,16954 9628,-18454
1,14240 16265 2452,-18432
1,14240 16265 5582,-18417
1,16954 1905,-18413
1,11089 2452,-18393
1,4996,-18370
1,14550 5582,-18340
1,16265 2452 5582,-18306
1,16272,-18294
1,7233,-18294
1,11443 17627,-18276
1,11521 5582 9628,-18255
1,14240 5582 9628,-18240
1,14621 1905,-18219
1,14240 16954 2452,-18199
1,10042 2782,-18198
1,3079,-18186
1,11089 11521,-18185
1,15755,-18179
1,13728 17157,-18149
1,14240 2452 9628,-18122
1,12034,-18120
1,16242,-18114
1,14367,-18110
1,4345,-18094
1,14550 14621,-18004
1,11283 11521 14240,-17995
1,11064 12293,-17986
1,13728 14691,-17983
1,11152,-17981
1,10042 1905,-17978
1,16377 17157,-17970
1,2452 5582 9628,-17956
1,11521 16377,-17944
1,10820,-17920
1,2862 4306,-17913
1,12911,-17881
1,17157 2452,-17874
1,16377 2452,-17860
1,11283 14240 2452,-17823
1,11521 14240 2782,-17807
1,12293 2452,-17806
1,6196,-17806
1,11283 2862,-17786
1,11521 17157,-17785
1,11521 14240 2452 3962,-17774
1,10042 16265 5582,-17765
1,11521 13728 2452,-17703
1,11283 14691,-17671
1,10042 7057,-17668
1,12470,-17663
1,14312,-17652
1,1905 3938,-17616
1,16377 16954,-17587
1,14691 5582,-17586
1,14240 2452 2782,-17584
1,14550 7057,-17564
1,2452 2862,-17559
1,10042 7230,-17557
1,3151,-17549
1,11521 12293,-17543
1,10042 3962,-17524
1,5582 7057 7230,-17522
1,1542,-17514
1,14550 8904,-17507
1,16954 2782,-17468
1,11283 12870,-17465
1,11521 14240 16265 2452,-17455
1,12293 14240,-17450
1,14550 7230,-17439
1,16265 16954,-17438
1,11064 6974,-17436
1,3962 4306,-17410
1,10042 14961,-17404
1,11064 2452,-17404
1,14240 5582 7057,-17385
1,11089 14240,-17367
1,2122,-17344
1,11521 3938,-17329
1,14550 14961,-17316
1,11064 571,-17291
1,11521 2862,-17273
1,10042 4306,-17263
1,6274,-17251
1,13728 16377,-17250
1,14691 2782,-17247
1,11064 11521,-17230
1,13651,-17218
1,11521 14240 2452 9628,-17213
1,14240 16377,-17191
1,10947 11089,-17188
1,8764,-17163
1,14240 3938,-17158
1,14240 17157,-17156
1,11521 14240 16954 2452,-17145
1,14240 5582 7230,-17111
1,14240 14961 5582,-17107
1,11521 2452 4306,-17105
1,2452 3938,-17083
1,11521 5582 7057,-17081
1,12293 5732,-17076
1,10042 5582 9628,-17069
1,16265 7057,-17061
1,14691 4306,-17057
1,11064 5926,-17047
1,11521 14621 2452,-17026
1,12785,-17023
1,7057 9628,-17022
1,10042 11521 16954,-17008
1,11089 1905,-17006
1,10947 11521 2452,-16993
1,11521 13728 14240,-16992
1,2782 4306,-16980
1,16265 7230,-16963
1,16377 3962,-16948
1,14313 16377,-16941
1,10042 16954 2452,-16932
1,14961 16265,-16902
1,14961 5582 7057,-16890
1,14454 457,-16879
1,14691 1905,-16872
1,10042 12293,-16862
1,17154,-16854
1,191,-16852
1,11521 16265 2452 5582,-16826
1,10947 1905,-16809
1,14691 7057,-16767
1,11521 16265 9628,-16757
1,14240 2862,-16756
1,14961 9628,-16755
1,14050,-16750
1,10947 11521 14240,-16747
1,2452 5582 7057,-16738
1,9254,-16737
1,14240 16265 9628,-16727
1,13728 14240 2452,-16716
1,12293 2862,-16711
1,14691 16954,-16710
1,7230 9628,-16710
1,9592,-16709
1,11521 5582 7230,-16706
1,1144,-16684
1,2660,-16677
1,2452 5582 7230,-16665
1,14961 5582 7230,-16627
1,11521 14240 16265 5582,-16619
1,11283 11521 14240 2452,-16613
1,13593,-16606
1,2452 6974,-16595
1,14691 7230,-16592
1,10947 14240 2452,-16583
1,11521 2452 5582 9628,-16572
1,13728 1905,-16550
1,16265 2452 9628,-16525
1,10042 14240 16954,-16523
1,11521 14961 5582,-16520
1,10947 14621,-16510
1,11521 14240 5582 9628,-16479
1,11521 14240 2452 2782,-16478
1,14691 14961,-16450
1,12870 2452,-16447
1,10042 11781 16954,-16444
1,10947 3938,-16422
1,1905 2782,-16414
1,11064 14240,-16413
1,10042 2862,-16391
1,16954 3962,-16376
1,14240 16265 2452 5582,-16359
1,10042 13728,-16353
1,12870 14240,-16353
1,16377 1905,-16353
1,11064 2862,-16350
1,11521 12870,-16346
1,14961 2452 5582,-16327
1,11521 14240 14621,-16324
1,11521 14240 4306,-16316
1,12161,-16292
1,11089 3938,-16284
1,1905 4306,-16274
1,16147,-16272
1,14550 16265,-16255
1,11521 6974,-16254
1,11089 11283,-16231
1,14240 14621 2452,-16230
1,11521 14240 5582 7057,-16227
1,12605,-16217
1,16954 4306,-16213
1,10042 17157,-16207
1,11089 11521 2452,-16205
1,16954 5582 9628,-16203
1,11283 12293,-16196
1,14240 2452 4306,-16194
1,14240 5582 7057 7230,-16180
1,14240 2452 5582 9628,-16142
1,10947 14550,-16140
1,10042 7057 7230,-16130
1,13359,-16130
1,14621 4306,-16105
1,7767,-16077
1,11283 4640,-16073
1,14550 9628,-16069
1,13728 4306,-16062
1,14691 3962,-16037
1,13728 16954,-16017
1,11283 8904,-16016
1,14691 16265,-16010
1,10042 14240 7057,-16008
1,3917,-16008
1,17339,-16007
1,13673,-15987
1,8644,-15986
1,10042 16265 9628,-15968
1,11521 2452 5582 7057,-15953
1,16954 7057,-15946
1,10042 16954 5582,-15940
1,11521 14240 5582 7230,-15890
1,11521 5582 7057 7230,-15885
1,17157 4306,-15880
1,14550 7057 7230,-15879
1,16128,-15877
1,14240 6974,-15876
1,2152,-15876
1,14240 2452 5582 7057,-15869
1,14961 5582 7057 7230,-15868
1,15425,-15868
1,14621 16377,-15862
1,9471,-15842
1,11283 3938,-15822
1,6205,-15822
1,10042 14240 7230,-15818
1,10042 14240 14961,-15814
1,5515,-15807
1,14691 9628,-15791
1,14240 14550 7057,-15790
1,10042 11521 7057,-15787
1,30,-15785
1,11089 14550,-15776
1,11521 14240 14961 5582,-15757
1,11521 16265 5582 9628,-15748
1,11064 14691,-15745
1,16265 7057 7230,-15719
1,16954 7230,-15716
1,14240 16265 5582 9628,-15712
1,14240 2452 5582 7230,-15708
1,11521 2452 5582 7230,-15695
1,12293 6974,-15691
1,313,-15689
1,14961 16954,-15684
1,1905 7057,-15663
1,11521 13728 14240 2452,-15661
1,14382,-15661
1,2452 5582 7057 7230,-15652
1,14240 14961 5582 7057,-15649
1,10042 14621,-15646
1,14550 571,-15646
1,11283 6287,-15628
1,10042 2452 7057,-15613
1,10042 2452 7230,-15602
1,17560,-15601
1,14240 16265 7057,-15597
1,11064 11283,-15589
1,11521 17157 2452,-15579
1,14240 14550 14961,-15576
1,14149,-15573
1,11521 14240 16265 2452 5582,-15569
1,16265 16954 5582,-15555
1,7057 7230 9628,-15554
1,14240 14550 7230,-15547
1,14240 7057 9628,-15545
1,10947 11521 14240 2452,-15522
1,14240 14961 2452 5582,-15511
1,16265 2452 5582 9628,-15506
1,10042 14550 16954,-15499
1,11089 14621 3962,-15494
1,11521 14550 7057,-15483
1,10042 11521 7230,-15477
1,2782 3962,-15476
1,1905 7230,-15460
1,10042 14961 7057,-15447
1,10042 11521 16954 2452,-15446
1,14691 17157,-15443
1,14240 14961 16265,-15432
1,2452 7193,-15425
1,11521 14961 2452 5582,-15418
1,11521 12293 2452,-15417
1,14240 16265 7230,-15416
1,14961 1905,-15415
1,14240 14961 5582 7230,-15407
1,11521 14240 2452 5582 9628,-15403
1,16265 5582 7057,-15393
1,6739,-15392
1,11521 16377 2452,-15376
1,2782 2862,-15357
1,11521 16265 7057,-15331
1,14550 2452 7057,-15329
1,16452,-15329
1,11521 14240 2452 5582 7057,-15326
1,14691 2862,-15321
1,11521 2452 2862,-15318
1,12870 17157,-15312
1,10042 16377,-15298
1,11283 5582,-15283
1,10042 14961 7230,-15277
1,16265 5582 7230,-15277
1,11521 16265 2452 9628,-15274
1,11283 14550 16377,-15269
1,11521 14961 5582 7057,-15264
1,14550 2452 7230,-15264
1,2782 5582,-15258
1,10042 14961 2452,-15255
1,14240 14961 9628,-15255
1,5582 7057 9628,-15253
1,10042 11521 14961,-15250
1,16377 6287,-15249
1,14240 7230 9628,-15246
1,11521 7057 9628,-15239
1,11089 11521 14240,-15235
1,11521 14240 14621 2452,-15228
1,1905 5582,-15224
1,14240 14691 7057,-15209
1,14550 14961 7057,-15209
1,11521 14240 5582 7057 7230,-15208
1,14691 7057 7230,-15205
1,11521 2452 3938,-15192
1,14313 2782,-15184
1,14961 16265 7057,-15178
1,14961 16265 5582,-15175
1,14302,-15168
1,3962 7057,-15168
1,10042 11521 5582,-15155
1,11521 14240 16265 9628,-15151
1,11521 14550 7230,-15150
1,10042 10947,-15146
1,10042 11064,-15143
1,11521 14240 2452 4306,-15140
1,11089 14240 2452,-15126
1,14550 5926,-15126
1,11521 14691 7057,-15123
1,10042 2452 5582,-15111
1,10947 11283,-15097
1,16377 2862,-15096
1,10042 14240 5582,-15077
1,11521 14240 2452 5582 7230,-15070
1,10774,-15066
1,14961 7057 9628,-15065
1,3864,-15057
1,10042 16265 5582 9628,-15049
1,11521 16265 7230,-15044
1,3962 5582,-15040
1,16265 2452 7057,-15038
1,16265 2452 7230,-15029
1,8832,-15027
1,5582 7230 9628,-15019
1,11521 7193,-15005
1,14961 2452 5582 7057,-15001
1,2342,-14998
1,14240 14691 7230,-14996
1,14961 5582 9628,-14994
1,11521 2452 5582 7057 7230,-14991
1,14961 16265 7230,-14990
1,3962 7230,-14988
1,17627 2452,-14985
1,14550 14961 7230,-14981
1,10042 16954 9628,-14969
1,15922,-14969
1,10042 12870,-14968
1,10042 11521 14240 7057,-14966
1,10550,-14960
1,11521 14961 5582 7230,-14960
1,14240 14691 14961,-14957
1,14621 16954,-14954
1,11521 14550 14961,-14948
1,14691 2452 7057,-14931
1,11521 12293 14240,-14930
1,14550 14961 2452,-14930
1,14240 2452 5582 7057 7230,-14926
1,14961 3962,-14926
1,9051,-14924
1,11521 11781,-14920
1,11521 14961 16265,-14916
1,11521 14240 17157,-14912
1,14691 2452 7230,-14903
1,2452 7057 9628,-14900
1,10042 14240 7057 7230,-14881
1,11521 7230 9628,-14881
1,10042 11521 14240 16954,-14876
1,14621 3938 3962,-14876
1,11064 11521 2452,-14871
1,11521 14240 14961 2452 5582,-14871
1,14240 16265 2452 9628,-14857
1,14961 2452 5582 7230,-14847
1,12293 14240 2452,-14836
1,4472,-14827
1,11521 17627,-14823
1,12293 2782,-14823
1,11521 14691 7230,-14821
1,14240 14961 5582 7057 7230,-14817
1,10042 11521 2452 7057,-14812
1,6287 7617,-14807
1,14550 4640,-14801
1,11064 175,-14799
1,2862 6974,-14790
1,14961 7230 9628,-14774
1,7416,-14766
1,11521 14961 9628,-14765
1,15296,-14759
1,2452 7230 9628,-14758
1,14961 16265 2452,-14755
1,3371,-14755
1,2782 7057,-14737
1,10042 14240 2452 7057,-14727
1,16265 16954 9628,-14726
1,14240 17157 2452,-14721
1,11781 2452,-14715
